title,text,rating
First time in Era,"Lần đầu trải nhiệm quán ngon nha, thịt bò và nầm tươi thái dày ăn rất đã, món ăn chơi cánh gà chiên mắm cũng rất okela ạ. Quan trọng không gian đồ ăn phục vụ sạch sẽ , yên tâm",3
Food Court floor 4,"Vị trí: Nằm ở lầu 4 bên trong tháp Bitexco.
✔️Có chỗ để xe máy dưới hầm Bitexco.
---------------------
Không gian: Rộng rãi, nhiều bàn ghế, sạch sẽ, mát và lịch sự 💯
---------------------
Nhân viên: Cũng bình thường.
--------------------
Giá: Vì mình dùng app UTOP để thanh toán nên đc giảm 49k. Chỉ còn 6k /1 tô Bánh Canh Cua ở Bitexco 😉(giá gốc 55k /1 tô 😨). 1 cái giá quá rẻ! 😘
--------------------
Chất lượng: Tô bánh canh cua ăn rất ngon 🤤. Mấy bé bên UTOP rất nhiệt tình hỗ trợ 😊. Khuyên các bạn hãy nên thanh toán qua app UTOP này để giảm giá & hoàn tiền nhé 👍. Rất có lợi cho túi tiền của các bạn! 😉
--------------------
Các bạn có thể tham khảo thêm bên dưới nhé!
👉 Follow Instagram @minh.march19 to explore more places and foods📌",3
tốt,"Lần đầu tiên thử nghiệm ở đây, nhìn chung khách sạn sạch tuy nhiên điều làm mình không hài lòng là thái độ và cách phục vụ của các nhân viên, từ lễ Tân cho tới các bạn phục vụ sảnh như hành lý, lái xe điện đưa đón khách . Từ khi vào đến khi checkout không thấy một nụ cười hay thái độ thân thiên của nhân viên ở đây, trời mưa to nhưng lái xe đưa đón không hề có dù để che mưa cho khách, tôi đi xe từ sảnh qua tới chỗ phòng gym trời mưa rất to, tới nơi bạn ấy vẫn ngồi trên xe và mặc kệ khách hàng chạy vào trong sảnh giữa trời mưa mà không có một hành động gì giúp đỡ khách. Quá thất vọng về thái độ phục vụ, không xứng tầm khách sạn 4 sao",2
"Giá đắt, không gian chật hẹp",Hmm menu không giống trong hình chụp tí nào cả. mình thấy giá rất đắt (150-200k 1 cốc nước) so với các quán cafe khác (cùng giá) nhưng không gian (chật) với chất lượng thì bình thường. có duy nhất cái view cầu long biên có lẽ khiến mình thử qua thôi ạ,1
Chất liệu không đạt yêu cầu,"Chất vải xấu, xù.",1
Chưa xài lâu nên chưa biết,"Tạm được, chưa biết có bền không.",2
tốt,"Lượn mấy vòng bờ hồ, mỏi nhừ chân, chụp được bao nhiêu ảnh sống ảo. 
Thích thú nhất là được thăm đền Ngọc Sơn. ",3
Thất vọng lần đầu,"Đặt hơn chục lần của quán rồi, chưa lần nào thất vọng như lần này :(( Quán gửi toàn rau nát, lại còn toàn cuống rau nữa",1
Good Restaurant,"không gian và mọi thứ rất match với buổi 1st date của mình, riêng về đồ ăn thì 10 out of 10. Sweet recommended 💯💯💯",3
Tuyệt,"Tôi yêu khu phố cổ Hà Nội, không đâu có thể có được không khí sôi động, mến khách như ở đây, luôn có cảm giác ấm áp cho dù là tới lần đầu, và đặc biệt, mọi thứ đều rất rẻ, ăn uống, mua đồ.....",3
Bò nướng số 1 phố cổ,"Bò nướng ngon số 1 phố cổ hà nội, mình từng ăn nhiều quán nhưng thích nhất đồ ăn của Era. Thịt tươi, tẩm ướp vừa vị, nhân viên nhiệt tình, giá cả phải chăng. Sẽ quay lại.",3
Sản phẩm không có công dụng rõ rệt,Để ăngten trong phòng khách tín hiệu siêu yếu.,2
Thoáng mát,"một nơi thoáng mát và phù hợp cho bạn tìm hiểu lịch sử Sài Gòn, phía sau còn có quán cafe nhiều cây xanh cho bạn nghỉ chân sau buổi tham quan.",3
Khách hàng quen thuộc,"Lâu rồi mới ghé lại Lai, trải nghiệm vẫn tốt và đồ ăn thì vẫn xuất sắc. Nhất định có thời gian sẽ ghé tiếp! Dimsum ở đây ăn khác hẳn với các quán Hoa khác, hình như là do họ làm Dimsum mới hàng ngày chứ không để tủ lạnh",3
đồng cảm với họ khi trải nghiệm tại đây...!,"Tôi thật sự rất ấn tượng với bảo tàng này vì bản thân tôi là người rất yêu thích lịch sử.Là dịp được tham quan mở mang kiến thức thật bổ ích về lịch sử. Bảo tàng trưng bày rất nhiều hiện vật, tư liệu và hình ảnh khiến chúng ta khơi gợi về quá khứ hào hùng mà khốc liệt của một thời đã qua.Vé cho khách Việt Nam chỉ 2.000 vnđ !",3
Đánh giá muộn do bận rộn,"Mình nhận hàng tuần rồi nhưng hôm nay mới có thời gian đánh giá cho shop, shop thông cảm nhé.",2
"Nhận áo quá chán, không muốn mặc thử",Lần đầu mua hàng của shop thấy cũng uy tín mà nhận cái áo quá chán không buồn mặc thử.,1
Đẹp,"Biển sạch đẹp, nhìn ra xa có các đảo và nhìn thấy được bán đảo Sơn Trà của Đà Nẵng. không bị làm phiền bởi nhiều người bán hàng rong.",3
Công trình kiến trúc độc đáo,"Chùa Cầu, một công tình kiến trúc độc đáo mang đậm phong cách Việt - Trung. Cầu có mái che uốn cong với nhiều họa tiết hoạ tiết rất đẹp. Đây là tài sản vô giá và là biểu tượng của Hội An.",3
ĐIỂM ĐẾN THÚ VỊ,thiên đường giải trí rất mái mẻ .khi đến đây đấm chìm vào lòng nước trong lành chơi những trò chơi rất tuyệt vời cảm giác rất sản khoái,3
Very good!,"Chị Hoài siêu dễ thương, không gian thoáng mát, rất thích hợp để ngồi học hay đi gặp gỡ bạn bè. Very nice!!! Đã ngồi Capella rất nhiều lần rồi nha",3
Không giống ảnh.,Không giống ảnh lắm .,1
"Chất lượng kém, nhiều lỗi và màu in lem","Tuy nhiên chất lượng hàng không đạt yêu cầu, vải xấu, đường may không đẹp, chỉ thừa và lỗi nhiều, màu in bị lem, áo bị ố màu.",1
Tiệm bánh rất ấn tượng,"Bánh ngon, vị trí thuận tiện, đặc biệt cheese cake rất ngon, nói chung mình đã từng thử hầu hết các loại bánh đều ngon, vị ngọt vừa phải và bánh mới hàng ngày. Đồ uống cũng ngon và đẹp. Vote 5 sao",3
Trải nghiệm tốt,"Địa điểm rất thích hợp ăn uống cùng bạn bè người thân, đồ ăn ngon, sạch tười, không gian quán thoải mái, nhân viên thân thiện, nhiệt tình.",3
Giao sai màu,Đặt màu đen gửi màu da.,2
Cái nôi của Giáo dục Việt Nam,"🌟 Văn Miếu mang phong cách xây dựng truyền thống, mái ngói uốn lượn như thời xưa. 🌳 Khuôn viên rộng rãi, nhiều cây xanh, rất thích hợp để nghỉ ngơi. 🏛️ Đến Hà Nội nhất định phải ghé thăm Văn Miếu nhé!",3
Quan nương rất ngon,"🍴 Đi ngang qua thấy quán đông khách nên mình vào thử. 👍 Đồ ăn ngon, nhà hàng sang trọng. 🥩 Bò nướng rất ngon, còn ếch rang muối thì rất đặc biệt.",3
lovely place,"Tôi thích Hội An, cảm thấy rất nhẹ nhõm và thoải mái. 🚶 Bạn có thể đi dạo quanh phố cổ, ăn xôi gà, và buổi tối thả đèn ở sông. 🌠 Rất lãng mạn!",3
View đẹp,Nói chung bữa ăn ổn. 🌅 Hôm đó mình chọn bàn ngoài trời nên không gian khá chill. 👨‍🍳 Nhân viên phục vụ nhiệt tình nhưng món ăn chưa đặc sắc lắm. Lẩu thì nhạt toẹt. 🌟 Đánh giá 5 sao vì view đẹp!,3
Đi ăn tối tại Li Bai,"🍜 Thức ăn ngon, nóng hổi, vừa miệng. 😊 Nhân viên phục vụ chu đáo và rất dễ thương. 💕 Cảm ơn Khang và Lan Anh nhiều nhé!",3
Đẹp tuyệt vời," Tôi đến Hà Nội vào một ngày đầu xuân và ghé thăm hồ Hoàn Kiếm. 🌳 Ban ngày khung cảnh rất thơ mộng, còn buổi tối thì lung linh ánh đèn. 💖 Yêu nơi này từ cái nhìn đầu tiên, chắc chắn sẽ quay lại!",3
Chất lượng không đáng giá,"💔 Chất lượng sản phẩm kém, không như mong đợi. 😤 Cần cải thiện nhiều hơn!",1
Cần cải thiện nhiều hơn,"Tôi và gia đình vừa trải qua một kỳ nghỉ ngắn ngày tại Vinpearl Hạ Long, tuy nhiên không được như mong muốn. 😕

Ưu điểm có thể nhận thấy là thủ tục check in - check out khá nhanh gọn 👍, phòng ốc sạch sẽ 🧹 và có kiến trúc tương tự như các khu Vinpearl khác 🏨. Nhân viên thân thiện và lịch sự 😊. Bể bơi bốn mùa trong nhà là điểm cộng vì có thể bơi bất cứ lúc nào trong ngày không phụ thuộc vào thời tiết bên ngoài 🏊‍♂️.

Tuy nhiên Vinpearl Hạ Long có thiết kế giao thông đi lại trong khu không thuận tiện 🚶‍♂️. Đi từ khách sạn ra bể bơi chính và bãi biển phải đi vòng ra ngoài khá xa hoặc đi tắt lối cầu thang bộ rất khó cho du khách 🥾. Cảnh quan sơ sài 🌱, 3 bãi biển chỉ sử dụng được 1 để tắm 🏖️, còn khu vui chơi cho trẻ em khi tôi đến lại đóng cửa để sửa chữa nên gia đình có trẻ nhỏ không sử dụng được 🚸.

Điều đáng tiếc xảy ra là sau khi ăn trưa bữa cuối (gia đình tôi mua gói Buffet 3 bữa của khách sạn) và check out thì về đến nhà, vợ tôi bị đau bụng dạng ngộ độc thức ăn 🤢, kéo dài 2 ngày chưa khỏi và hiện vẫn đang phải điều trị tại nhà 🏥. Khách sạn cần quản lý các khâu chế biến thức ăn một cách cẩn trọng hơn để tránh các sự cố đáng tiếc xảy ra ⚠️. Ngoài ra thì số lượng, chất lượng món ăn và độ hấp dẫn đều thua kém so với một số khu nghỉ Vinpearl khác mà tôi từng có dịp ở lại 🍽️.

Sẽ cần có rất nhiều cải thiện của Vinpearl Hạ Long để có thể thu hút tôi quay trở lại lần sau. 👎",2
không thể chấp nhận,"Về chất lượng thì mình thấy trà ở đây cũng được. Nhưng hôm nay mình order về uống cứ thấy những đốm ni lông li ti trong trà, không thể chấp nhận được. 😡🤢",1
Rất tốt,"Tôi cùng gia đình đã có một cuối tuần rất vui! Đồ ăn combo và đồ uống đều rất vừa miệng. Đặc biệt, cảm ơn anh Sơn đã giới thiệu cho tôi tách cafe trứng lần đầu thử và rất ngon. ❤️
Sẽ quay lại thường xuyên vào cuối tuần! ☕",3
Đồ ăn ngon,"Quán này cực hợp để đi cùng bạn bè! Đồ ăn vừa ngon vừa chất lượng, phục vụ lại nhiệt tình. Món cánh gà chiên mắm là phải thử đó. 😊",3
Giao hàng nhanh,Thời gian giao hàng nhanh. 🚚⚡,2
Quán ngon!!!,"Quá ngon!!! Trải nghiệm tuyệt vời, dịch vụ tốt, nhà hàng sạch sẽ, thịt tươi, nộm chân gà rút xương ngon. 😍👌",3
Cổ kính,Biểu tượng cho nền văn hoá Việt Nam. Nơi tốt để đưa con cái đến và kể cho chúng những câu chuyện truyền cảm hứng học tập. 🇻🇳✨,3
"Giao hàng thiếu món, gọi hotline không ai nghe máy","Thực sự rất thích đồ ăn của Gìollibee, nhưng hôm nay mình cảm thấy rất bực. 😡 Mình đặt hàng qua Order Now 1 combo 109k (gồm 2 miếng gà, 2 nước, 1 mì, 1 khoai tây) và thêm 2 miếng gà sốt cay. Tuy nhiên, cửa hàng chỉ giao cho shipper 1 combo, còn 2 miếng gà sốt cay thì không có. Mất tiền mà không được giao đủ đồ, gọi điện hotline thì không ai nghe máy. 📞🚫",1
Dịch vụ tốt nhưng mà phương tiện thì phá sóng ứng dụng Grab,Tôi và gia đình lúc đi xuống vinwonder đặc được xe ứng dụng Grab khi về thì đặc không được tài xế xe Tacxi vinwonder thi chèo kéo kêu ở đây đã phá sóng ứng dụng Grab chỉ có đi Tacxi vin thôi vinwonder coi lại đừng để một đích vu kinh doanh Tacxi mà phá đi một hình ảnh và ác cảm của vinwonder nỗi tiếng khu nghỉ dưỡng thì phải có sự lựa chọn phương tiện của khách hàng chứ,1
Phố Cổ không thể nào quên,"Sau 20 năm trở về quê nhà, mình thấy mọi thứ vẫn quen thuộc với những con ngõ nhỏ, nhưng lại phát triển hơn mong đợi. Nhiều quán ăn, quán bar và khách sạn mọc lên. Cảm giác thật tuyệt vời! Hy vọng mỗi năm đều có dịp về thăm quê. 😊🏠",3
"Thanh bình, thoải mái","Bãi biển đẹp, ít người. Có thể lúc mình đến chưa phải mùa du lịch nên ít người. Thuê ghế nằm phơi nắng hoặc nghỉ ngơi 50k/ghế. Uống cốc nước dừa 35k nữa là nằm đến chiều luôn",3
"Đồ ăn rất ngon và độc đáo. Dịch vụ vô cùng tốt và nhân viên nhiệt tình, thân thiện","Tôi và gia đình lúc đi xuống VinWonders đặc được xe ứng dụng Grab, khi về thì đặc không được tài xế. Xe Taxi VinWonders thì chèo kéo, kêu ở đây đã phá sóng ứng dụng Grab, chỉ có đi taxi Vin thôi. VinWonders coi lại đừng để một dịch vụ kinh doanh taxi mà phá đi hình ảnh, tạo ác cảm. VinWonders nổi tiếng là khu nghỉ dưỡng thì phải có sự lựa chọn phương tiện của khách hàng chứ. 🚖⚠️",3
"Vải mỏng, may kém","Mua đồ mà vải mỏng, đường may cũng không đẹp, nhìn không khác gì hàng chợ. 😒",1
Cà phê view đẹp,"Quán cà phê có ban công view đẹp ra nhà thờ lớn. Đồ uống phục vụ nhanh, chất lượng tốt, giá cả hợp lý. Đồ ăn mình đánh giá chưa ngon, đặc sắc",3
quá tuyệt vời,"Hồi hôm bạn mình có dẫn mình tới ""poke saigon"". Đây là lần đầu tiên mình ăn món sashimi kiểu Hawaii như này và cảm thấy thật bất ngờ vì đồ ăn ngon hết sức tưởng tượng mà bây giờ mới biết đến. Cả về cách bố trí của nhà hàng, món ăn độc đáo và sự nhiệt tiền của nhân viên, mình khá bối rối vì order hơi phức tạp nhưng nhân viên hướng dẫn khá tận tình. cám ơn pokesaigon mình sẽ thử cả bên chi nhánh lý tự trọng vì nghe bảo cũng khá là đẹp.",3
Tiền nào của nấy,Tiền nào của đấy không sai các chế ạ 😂💸,1
Thất vọng toàn tập,Không ngon như mình nghĩ 😕,1
Chè dừa non ngon ngon @ Tuk Tuk,"Nhân viên quán rất dễ thương, tư vấn nhiệt tình, có sự hiểu biết về các món ăn. 😍🍽️ Tôi đặc biệt thích món chè dừa ngon, so yummy!! 🥥🤩",3
"Chất lượng tạm ổn, giao hàng nhanh",Chất lượng sản phẩm tạm ổn. Thời gian giao hàng rất nhanh. ⚡📦,2
